# i, j, num-i, num-j, Delta-num-carbons
0, 0, 1, 1, 0
1, 0, 2, 1, 1
1, 1, 2, 2, 0
2, 0, 3, 1, 2
2, 1, 3, 2, 1
2, 2, 3, 3, 0
3, 0, 4, 1, 3
3, 1, 4, 2, 2
3, 2, 4, 3, 1
3, 3, 4, 4, 0
4, 0, 5, 1, 4
4, 1, 5, 2, 3
4, 2, 5, 3, 2
4, 3, 5, 4, 1
4, 4, 5, 5, 0
5, 0, 6, 1, 5
5, 1, 6, 2, 4
5, 2, 6, 3, 3
5, 3, 6, 4, 2
5, 4, 6, 5, 1
5, 5, 6, 6, 0
6, 0, 7, 1, 6
6, 1, 7, 2, 5
6, 2, 7, 3, 4
6, 3, 7, 4, 3
6, 4, 7, 5, 2
6, 5, 7, 6, 1
6, 6, 7, 7, 0
7, 0, 8, 1, 7
7, 1, 8, 2, 6
7, 2, 8, 3, 5
7, 3, 8, 4, 4
7, 4, 8, 5, 3
7, 5, 8, 6, 2
7, 6, 8, 7, 1
7, 7, 8, 8, 0
8, 0, 9, 1, 8
8, 1, 9, 2, 7
8, 2, 9, 3, 6
8, 3, 9, 4, 5
8, 4, 9, 5, 4
8, 5, 9, 6, 3
8, 6, 9, 7, 2
8, 7, 9, 8, 1
8, 8, 9, 9, 0
9, 0, 10, 1, 9
9, 1, 10, 2, 8
9, 2, 10, 3, 7
9, 3, 10, 4, 6
9, 4, 10, 5, 5
9, 5, 10, 6, 4
9, 6, 10, 7, 3
9, 7, 10, 8, 2
9, 8, 10, 9, 1
9, 9, 10, 10, 0
10, 0, 4, 1, 3
10, 1, 4, 2, 2
10, 2, 4, 3, 1
10, 3, 4, 4, 0
10, 4, 4, 5, 1
10, 5, 4, 6, 2
10, 6, 4, 7, 3
10, 7, 4, 8, 4
10, 8, 4, 9, 5
10, 9, 4, 10, 6
10, 10, 4, 4, 0
11, 0, 5, 1, 4
11, 1, 5, 2, 3
11, 2, 5, 3, 2
11, 3, 5, 4, 1
11, 4, 5, 5, 0
11, 5, 5, 6, 1
11, 6, 5, 7, 2
11, 7, 5, 8, 3
11, 8, 5, 9, 4
11, 9, 5, 10, 5
11, 10, 5, 4, 1
11, 11, 5, 5, 0
12, 0, 6, 1, 5
12, 1, 6, 2, 4
12, 2, 6, 3, 3
12, 3, 6, 4, 2
12, 4, 6, 5, 1
12, 5, 6, 6, 0
12, 6, 6, 7, 1
12, 7, 6, 8, 2
12, 8, 6, 9, 3
12, 9, 6, 10, 4
12, 10, 6, 4, 2
12, 11, 6, 5, 1
12, 12, 6, 6, 0
13, 0, 7, 1, 6
13, 1, 7, 2, 5
13, 2, 7, 3, 4
13, 3, 7, 4, 3
13, 4, 7, 5, 2
13, 5, 7, 6, 1
13, 6, 7, 7, 0
13, 7, 7, 8, 1
13, 8, 7, 9, 2
13, 9, 7, 10, 3
13, 10, 7, 4, 3
13, 11, 7, 5, 2
13, 12, 7, 6, 1
13, 13, 7, 7, 0
14, 0, 8, 1, 7
14, 1, 8, 2, 6
14, 2, 8, 3, 5
14, 3, 8, 4, 4
14, 4, 8, 5, 3
14, 5, 8, 6, 2
14, 6, 8, 7, 1
14, 7, 8, 8, 0
14, 8, 8, 9, 1
14, 9, 8, 10, 2
14, 10, 8, 4, 4
14, 11, 8, 5, 3
14, 12, 8, 6, 2
14, 13, 8, 7, 1
14, 14, 8, 8, 0
15, 0, 9, 1, 8
