# i, j, num-i, num-j, Delta-num-atoms
0, 0, 2, 2, 0
1, 0, 3, 2, 1
1, 1, 3, 3, 0
2, 0, 4, 2, 2
2, 1, 4, 3, 1
2, 2, 4, 4, 0
3, 0, 5, 2, 3
3, 1, 5, 3, 2
3, 2, 5, 4, 1
3, 3, 5, 5, 0
4, 0, 6, 2, 4
4, 1, 6, 3, 3
4, 2, 6, 4, 2
4, 3, 6, 5, 1
4, 4, 6, 6, 0
5, 0, 7, 2, 5
5, 1, 7, 3, 4
5, 2, 7, 4, 3
5, 3, 7, 5, 2
5, 4, 7, 6, 1
5, 5, 7, 7, 0
6, 0, 8, 2, 6
6, 1, 8, 3, 5
6, 2, 8, 4, 4
6, 3, 8, 5, 3
6, 4, 8, 6, 2
6, 5, 8, 7, 1
6, 6, 8, 8, 0
7, 0, 9, 2, 7
7, 1, 9, 3, 6
7, 2, 9, 4, 5
7, 3, 9, 5, 4
7, 4, 9, 6, 3
7, 5, 9, 7, 2
7, 6, 9, 8, 1
7, 7, 9, 9, 0
8, 0, 10, 2, 8
8, 1, 10, 3, 7
8, 2, 10, 4, 6
8, 3, 10, 5, 5
8, 4, 10, 6, 4
8, 5, 10, 7, 3
8, 6, 10, 8, 2
8, 7, 10, 9, 1
8, 8, 10, 10, 0
9, 0, 4, 2, 2
9, 1, 4, 3, 1
9, 2, 4, 4, 0
9, 3, 4, 5, 1
9, 4, 4, 6, 2
9, 5, 4, 7, 3
9, 6, 4, 8, 4
9, 7, 4, 9, 5
9, 8, 4, 10, 6
9, 9, 4, 4, 0
10, 0, 5, 2, 3
10, 1, 5, 3, 2
10, 2, 5, 4, 1
10, 3, 5, 5, 0
10, 4, 5, 6, 1
10, 5, 5, 7, 2
10, 6, 5, 8, 3
10, 7, 5, 9, 4
10, 8, 5, 10, 5
10, 9, 5, 4, 1
10, 10, 5, 5, 0
11, 0, 6, 2, 4
11, 1, 6, 3, 3
11, 2, 6, 4, 2
11, 3, 6, 5, 1
11, 4, 6, 6, 0
11, 5, 6, 7, 1
11, 6, 6, 8, 2
11, 7, 6, 9, 3
11, 8, 6, 10, 4
11, 9, 6, 4, 2
11, 10, 6, 5, 1
11, 11, 6, 6, 0
12, 0, 7, 2, 5
12, 1, 7, 3, 4
12, 2, 7, 4, 3
12, 3, 7, 5, 2
12, 4, 7, 6, 1
12, 5, 7, 7, 0
12, 6, 7, 8, 1
12, 7, 7, 9, 2
12, 8, 7, 10, 3
12, 9, 7, 4, 3
12, 10, 7, 5, 2
12, 11, 7, 6, 1
12, 12, 7, 7, 0
13, 0, 8, 2, 6
13, 1, 8, 3, 5
13, 2, 8, 4, 4
13, 3, 8, 5, 3
13, 4, 8, 6, 2
13, 5, 8, 7, 1
13, 6, 8, 8, 0
13, 7, 8, 9, 1
13, 8, 8, 10, 2
13, 9, 8, 4, 4
13, 10, 8, 5, 3
13, 11, 8, 6, 2
13, 12, 8, 7, 1
13, 13, 8, 8, 0
14, 0, 9, 2, 7
14, 1, 9, 3, 6
14, 2, 9, 4, 5
14, 3, 9, 5, 4
14, 4, 9, 6, 3
