# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rxx', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.461
1, 1, 1.0
2, 0, 0.1406
2, 1, 0.449
2, 2, 1.0
3, 0, 0.0323
3, 1, 0.1443
3, 2, 0.4639
3, 3, 1.0
4, 0, 0.0062
4, 1, 0.0351
4, 2, 0.1454
4, 3, 0.446
4, 4, 1.0
5, 0, 0.0018
5, 1, 0.0074
5, 2, 0.0334
5, 3, 0.1432
5, 4, 0.4499
5, 5, 1.0
6, 0, 0.0001
6, 1, 0.0021
6, 2, 0.0075
6, 3, 0.0336
6, 4, 0.145
6, 5, 0.4504
6, 6, 1.0
7, 0, 0.0
7, 1, 0.0003
7, 2, 0.0018
7, 3, 0.0068
7, 4, 0.0329
7, 5, 0.143
7, 6, 0.4499
7, 7, 1.0
8, 0, 0.0
8, 1, 0.0002
8, 2, 0.0003
8, 3, 0.0012
8, 4, 0.0061
8, 5, 0.0348
8, 6, 0.1307
8, 7, 0.4497
8, 8, 1.0
9, 0, 0.199
9, 1, 0.4514
9, 2, 0.8478
9, 3, 0.3812
9, 4, 0.1128
9, 5, 0.028
9, 6, 0.0071
9, 7, 0.0014
9, 8, 0.0002
9, 9, 1.0
10, 0, 0.0572
10, 1, 0.1445
10, 2, 0.391
10, 3, 0.8417
10, 4, 0.3686
10, 5, 0.1198
10, 6, 0.0292
10, 7, 0.0054
10, 8, 0.0013
10, 9, 0.4442
10, 10, 1.0
11, 0, 0.0136
11, 1, 0.0364
11, 2, 0.1179
11, 3, 0.3827
11, 4, 0.8486
11, 5, 0.3794
11, 6, 0.119
11, 7, 0.0273
11, 8, 0.0063
11, 9, 0.138
11, 10, 0.4557
11, 11, 1.0
12, 0, 0.0031
12, 1, 0.0061
12, 2, 0.0298
12, 3, 0.1193
12, 4, 0.3823
12, 5, 0.8497
12, 6, 0.3735
12, 7, 0.1159
12, 8, 0.0286
12, 9, 0.0334
12, 10, 0.1395
12, 11, 0.4489
12, 12, 1.0
13, 0, 0.0009
13, 1, 0.0021
13, 2, 0.0063
13, 3, 0.0283
13, 4, 0.1178
13, 5, 0.3834
13, 6, 0.845
13, 7, 0.3819
13, 8, 0.119
13, 9, 0.0059
13, 10, 0.0323
13, 11, 0.1479
13, 12, 0.4513
13, 13, 1.0
14, 0, 0.0
14, 1, 0.0003
14, 2, 0.0014
14, 3, 0.0053
14, 4, 0.0297
14, 5, 0.116
14, 6, 0.3897
14, 7, 0.8491
14, 8, 0.3869
14, 9, 0.0017
14, 10, 0.0074
14, 11, 0.0316
14, 12, 0.1357
14, 13, 0.4425
14, 14, 1.0
15, 0, 0.0
15, 1, 0.0
15, 2, 0.0006
15, 3, 0.0013
15, 4, 0.0059
15, 5, 0.0294
15, 6, 0.1179
15, 7, 0.3819
15, 8, 0.8528
15, 9, 0.0004
15, 10, 0.0015
15, 11, 0.0072
15, 12, 0.0325
15, 13, 0.1375
15, 14, 0.4404
15, 15, 1.0
16, 0, 0.001
16, 1, 0.0017
16, 2, 0.0002
16, 3, 0.0002
16, 4, 0.0012
16, 5, 0.0002
16, 6, 0.0
16, 7, 0.0
16, 8, 0.0
16, 9, 0.0001
16, 10, 0.0002
16, 11, 0.0004
16, 12, 0.0006
16, 13, 0.0001
16, 14, 0.0
16, 15, 0.0
16, 16, 1.0
17, 0, 0.0004
17, 1, 0.0006
17, 2, 0.0
17, 3, 0.0
17, 4, 0.0006
17, 5, 0.0011
17, 6, 0.0001
17, 7, 0.0
17, 8, 0.0
17, 9, 0.0
17, 10, 0.0003
17, 11, 0.0005
17, 12, 0.001
17, 13, 0.0006
17, 14, 0.0002
17, 15, 0.0
17, 16, 0.4459
17, 17, 1.0
18, 0, 0.0001
18, 1, 0.0003
18, 2, 0.0001
18, 3, 0.0001
18, 4, 0.0
18, 5, 0.0001
18, 6, 0.001
18, 7, 0.0006
18, 8, 0.0
18, 9, 0.0
18, 10, 0.0
18, 11, 0.0
18, 12, 0.0001
18, 13, 0.0007
18, 14, 0.0003
18, 15, 0.0002
18, 16, 0.1382
18, 17, 0.4525
18, 18, 1.0
19, 0, 0.0
19, 1, 0.0
19, 2, 0.0
19, 3, 0.0
19, 4, 0.0001
19, 5, 0.0
19, 6, 0.0004
19, 7, 0.0008
19, 8, 0.0003
19, 9, 0.0
19, 10, 0.0
19, 11, 0.0
19, 12, 0.0
19, 13, 0.0005
19, 14, 0.0012
19, 15, 0.0002
19, 16, 0.0364
19, 17, 0.1394
19, 18, 0.4454
19, 19, 1.0
20, 0, 0.0
20, 1, 0.0
20, 2, 0.0
20, 3, 0.0
20, 4, 0.0
20, 5, 0.0
20, 6, 0.0002
20, 7, 0.0008
20, 8, 0.0008
20, 9, 0.0
20, 10, 0.0
20, 11, 0.0
20, 12, 0.0
20, 13, 0.0001
20, 14, 0.0004
20, 15, 0.001
20, 16, 0.007
20, 17, 0.0353
20, 18, 0.1434
20, 19, 0.4537
20, 20, 1.0
21, 0, 0.0003
21, 1, 0.0006
21, 2, 0.0004
21, 3, 0.0001
21, 4, 0.0
21, 5, 0.0003
21, 6, 0.0012
21, 7, 0.0005
21, 8, 0.0001
21, 9, 0.0007
21, 10, 0.0
21, 11, 0.0001
21, 12, 0.0002
21, 13, 0.0007
21, 14, 0.0
21, 15, 0.0001
21, 16, 0.0001
21, 17, 0.0002
21, 18, 0.0005
21, 19, 0.0
21, 20, 0.0001
21, 21, 1.0
22, 0, 0.0
22, 1, 0.0
22, 2, 0.0004
22, 3, 0.0
22, 4, 0.0
22, 5, 0.0002
22, 6, 0.0008
22, 7, 0.001
22, 8, 0.0006
22, 9, 0.0
22, 10, 0.0
22, 11, 0.0
22, 12, 0.0002
22, 13, 0.0006
22, 14, 0.0006
22, 15, 0.0003
22, 16, 0.0
22, 17, 0.0001
22, 18, 0.0006
22, 19, 0.0017
22, 20, 0.0004
22, 21, 0.4534
22, 22, 1.0
23, 0, 0.0
23, 1, 0.0
23, 2, 0.0001
23, 3, 0.0
23, 4, 0.0001
23, 5, 0.0
23, 6, 0.0003
23, 7, 0.0002
23, 8, 0.0015
23, 9, 0.0
23, 10, 0.0
23, 11, 0.0
23, 12, 0.0
23, 13, 0.0
23, 14, 0.0002
23, 15, 0.0002
23, 16, 0.0001
23, 17, 0.0001
23, 18, 0.0001
23, 19, 0.0003
23, 20, 0.0009
23, 21, 0.1426
23, 22, 0.4501
23, 23, 1.0
24, 0, 0.0
24, 1, 0.0
24, 2, 0.0002
24, 3, 0.0002
24, 4, 0.0
24, 5, 0.0
24, 6, 0.0001
24, 7, 0.0002
24, 8, 0.0006
24, 9, 0.0
24, 10, 0.0001
24, 11, 0.0
24, 12, 0.0
24, 13, 0.0003
24, 14, 0.0001
24, 15, 0.0011
24, 16, 0.0
24, 17, 0.0
24, 18, 0.0002
24, 19, 0.0006
24, 20, 0.0015
24, 21, 0.0001
24, 22, 0.0003
24, 23, 0.0006
24, 24, 1.0
25, 0, 0.0938
25, 1, 0.1996
25, 2, 0.4596
25, 3, 0.8421
25, 4, 0.3725
25, 5, 0.1182
25, 6, 0.0281
25, 7, 0.0062
25, 8, 0.0018
25, 9, 0.3733
25, 10, 0.7434
25, 11, 0.3392
25, 12, 0.1061
25, 13, 0.0246
25, 14, 0.0045
25, 15, 0.0008
25, 16, 0.0003
25, 17, 0.0001
25, 18, 0.0
25, 19, 0.0
25, 20, 0.0
25, 21, 0.0002
25, 22, 0.0
25, 23, 0.0
25, 24, 0.0001
25, 25, 1.0
26, 0, 0.0297
26, 1, 0.0592
26, 2, 0.1354
26, 3, 0.3852
26, 4, 0.8434
26, 5, 0.3826
26, 6, 0.1179
26, 7, 0.0272
26, 8, 0.006
26, 9, 0.1168
26, 10, 0.3262
26, 11, 0.7357
26, 12, 0.3353
26, 13, 0.1008
26, 14, 0.0235
26, 15, 0.006
26, 16, 0.001
26, 17, 0.0004
26, 18, 0.0
26, 19, 0.0
