# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rzz', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.361
1, 1, 1.0
2, 0, 0.2468
2, 1, 0.3559
2, 2, 1.0
3, 0, 0.1701
3, 1, 0.2456
3, 2, 0.3494
3, 3, 1.0
4, 0, 0.1217
4, 1, 0.1612
4, 2, 0.2482
4, 3, 0.3541
4, 4, 1.0
5, 0, 0.0793
5, 1, 0.1128
5, 2, 0.1637
5, 3, 0.2412
5, 4, 0.3538
5, 5, 1.0
6, 0, 0.0563
6, 1, 0.0756
6, 2, 0.1086
6, 3, 0.1626
6, 4, 0.2452
6, 5, 0.357
6, 6, 1.0
7, 0, 0.0381
7, 1, 0.0498
7, 2, 0.0812
7, 3, 0.1159
7, 4, 0.1727
7, 5, 0.2446
7, 6, 0.3541
7, 7, 1.0
8, 0, 0.0252
8, 1, 0.0414
8, 2, 0.0549
8, 3, 0.0788
8, 4, 0.1165
8, 5, 0.1695
8, 6, 0.2395
8, 7, 0.3526
8, 8, 1.0
9, 0, 0.0747
9, 1, 0.357
9, 2, 0.2598
9, 3, 0.1005
9, 4, 0.0611
9, 5, 0.0419
9, 6, 0.0301
9, 7, 0.019
9, 8, 0.0154
9, 9, 1.0
10, 0, 0.0494
10, 1, 0.2351
10, 2, 0.0926
10, 3, 0.2649
10, 4, 0.0923
10, 5, 0.067
10, 6, 0.044
10, 7, 0.0329
10, 8, 0.0216
10, 9, 0.3502
10, 10, 1.0
11, 0, 0.0344
11, 1, 0.1684
11, 2, 0.0719
11, 3, 0.0937
11, 4, 0.2566
11, 5, 0.0903
11, 6, 0.063
11, 7, 0.0455
11, 8, 0.0278
11, 9, 0.2493
11, 10, 0.3548
11, 11, 1.0
12, 0, 0.0268
12, 1, 0.111
12, 2, 0.0435
12, 3, 0.0642
12, 4, 0.0953
12, 5, 0.2658
12, 6, 0.0945
12, 7, 0.063
12, 8, 0.0423
12, 9, 0.1599
12, 10, 0.2519
12, 11, 0.3503
12, 12, 1.0
13, 0, 0.0189
13, 1, 0.0784
13, 2, 0.0301
13, 3, 0.0454
13, 4, 0.0659
13, 5, 0.0925
13, 6, 0.2738
13, 7, 0.0992
13, 8, 0.0706
13, 9, 0.1122
13, 10, 0.1644
13, 11, 0.2433
13, 12, 0.3517
13, 13, 1.0
14, 0, 0.0111
14, 1, 0.0519
14, 2, 0.02
14, 3, 0.0323
14, 4, 0.0432
14, 5, 0.0623
14, 6, 0.1019
14, 7, 0.26
14, 8, 0.0966
14, 9, 0.0818
14, 10, 0.1164
14, 11, 0.1635
14, 12, 0.2481
14, 13, 0.3554
14, 14, 1.0
15, 0, 0.0092
15, 1, 0.0379
15, 2, 0.0123
15, 3, 0.0226
15, 4, 0.0315
15, 5, 0.0441
15, 6, 0.0623
15, 7, 0.0924
15, 8, 0.2763
15, 9, 0.0555
15, 10, 0.0792
15, 11, 0.1114
15, 12, 0.1611
15, 13, 0.2402
15, 14, 0.3525
