# primitive_MRO = (<class 'qiskit_aer.primitives.sampler_v2.SamplerV2'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rxx', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_noise_model.pkl
# backend_target_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_target.pkl
# sampler_type = noisy_aer
# i, j, expectation-value
0, 0, 0.9993
1, 0, 0.4485
1, 1, 0.9914
2, 0, 0.138
2, 1, 0.4496
2, 2, 0.9851
3, 0, 0.0351
3, 1, 0.1374
3, 2, 0.4539
3, 3, 0.9757
4, 0, 0.0086
4, 1, 0.0365
4, 2, 0.1434
4, 3, 0.4444
4, 4, 0.9687
5, 0, 0.0016
5, 1, 0.009
5, 2, 0.0338
5, 3, 0.135
5, 4, 0.4354
5, 5, 0.9594
6, 0, 0.001
6, 1, 0.0018
6, 2, 0.0085
6, 3, 0.0328
6, 4, 0.1331
6, 5, 0.4325
6, 6, 0.9483
7, 0, 0.0002
7, 1, 0.0006
7, 2, 0.0017
7, 3, 0.0094
7, 4, 0.0363
7, 5, 0.1332
7, 6, 0.4257
7, 7, 0.9393
8, 0, 0.0001
8, 1, 0.0001
8, 2, 0.0006
8, 3, 0.002
8, 4, 0.0099
8, 5, 0.0313
8, 6, 0.1289
8, 7, 0.4209
8, 8, 0.9213
9, 0, 0.0
9, 1, 0.0
9, 2, 0.0
9, 3, 0.001
9, 4, 0.0022
9, 5, 0.0083
9, 6, 0.035
9, 7, 0.1255
9, 8, 0.4087
9, 9, 0.9019
10, 0, 0.0926
10, 1, 0.1937
10, 2, 0.445
10, 3, 0.8201
10, 4, 0.372
10, 5, 0.1115
10, 6, 0.0321
10, 7, 0.0089
10, 8, 0.0019
10, 9, 0.0005
10, 10, 0.9707
11, 0, 0.0317
11, 1, 0.0891
11, 2, 0.1916
11, 3, 0.4446
11, 4, 0.8188
11, 5, 0.3714
11, 6, 0.1202
11, 7, 0.0338
11, 8, 0.0092
11, 9, 0.0029
11, 10, 0.372
11, 11, 0.9662
12, 0, 0.0076
12, 1, 0.0263
12, 2, 0.0873
12, 3, 0.1882
12, 4, 0.432
12, 5, 0.8132
12, 6, 0.3687
12, 7, 0.1102
12, 8, 0.0289
12, 9, 0.0071
12, 10, 0.1583
12, 11, 0.3642
12, 12, 0.9558
13, 0, 0.0023
13, 1, 0.006
13, 2, 0.0288
13, 3, 0.0814
