# primitive_MRO = (<class 'qiskit_aer.primitives.sampler_v2.SamplerV2'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'ryy', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_noise_model.pkl
# backend_target_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_target.pkl
# sampler_type = noisy_aer
# i, j, expectation-value
0, 0, 0.9989
1, 0, 0.2998
1, 1, 0.9931
2, 0, 0.1139
2, 1, 0.3017
2, 2, 0.9813
3, 0, 0.0987
3, 1, 0.1195
3, 2, 0.2904
3, 3, 0.9752
4, 0, 0.0351
4, 1, 0.0954
4, 2, 0.1158
4, 3, 0.2927
4, 4, 0.9656
5, 0, 0.0096
5, 1, 0.0349
5, 2, 0.091
5, 3, 0.1163
5, 4, 0.2883
5, 5, 0.9556
6, 0, 0.0089
6, 1, 0.0091
6, 2, 0.0342
6, 3, 0.096
6, 4, 0.1121
6, 5, 0.278
6, 6, 0.9393
7, 0, 0.0035
7, 1, 0.0081
7, 2, 0.0082
7, 3, 0.0328
7, 4, 0.0941
7, 5, 0.1144
7, 6, 0.2839
7, 7, 0.9304
8, 0, 0.0006
8, 1, 0.0045
8, 2, 0.0085
8, 3, 0.0084
8, 4, 0.034
8, 5, 0.0906
8, 6, 0.1074
8, 7, 0.2791
8, 8, 0.9049
9, 0, 0.0005
9, 1, 0.0006
9, 2, 0.0045
9, 3, 0.0077
9, 4, 0.009
9, 5, 0.033
9, 6, 0.0885
9, 7, 0.1115
9, 8, 0.2648
9, 9, 0.892
10, 0, 0.0963
10, 1, 0.2156
10, 2, 0.2889
10, 3, 0.1848
10, 4, 0.0597
10, 5, 0.0198
10, 6, 0.0185
10, 7, 0.0079
10, 8, 0.0018
10, 9, 0.0012
10, 10, 0.9685
11, 0, 0.0888
11, 1, 0.0934
11, 2, 0.2187
11, 3, 0.2833
11, 4, 0.1843
11, 5, 0.0563
11, 6, 0.025
11, 7, 0.0176
11, 8, 0.0047
11, 9, 0.0023
11, 10, 0.0615
11, 11, 0.9608
12, 0, 0.0271
12, 1, 0.0843
12, 2, 0.0941
12, 3, 0.2167
12, 4, 0.2905
12, 5, 0.1793
12, 6, 0.0528
12, 7, 0.0214
12, 8, 0.0164
12, 9, 0.0063
12, 10, 0.0437
12, 11, 0.058
12, 12, 0.949
13, 0, 0.0063
13, 1, 0.0306
13, 2, 0.0889
13, 3, 0.0938
13, 4, 0.2148
13, 5, 0.2911
13, 6, 0.1879
13, 7, 0.0526
13, 8, 0.0224
13, 9, 0.0167
13, 10, 0.0181
13, 11, 0.0395
13, 12, 0.0552
13, 13, 0.9419
14, 0, 0.0071
14, 1, 0.0061
14, 2, 0.0292
14, 3, 0.0835
14, 4, 0.0915
14, 5, 0.2188
14, 6, 0.2795
14, 7, 0.1722
14, 8, 0.0533
14, 9, 0.0203
14, 10, 0.0149
14, 11, 0.0193
14, 12, 0.0398
14, 13, 0.0557
14, 14, 0.9338
15, 0, 0.0031
15, 1, 0.0067
15, 2, 0.0057
15, 3, 0.0292
15, 4, 0.086
15, 5, 0.0932
15, 6, 0.2111
15, 7, 0.2885
15, 8, 0.1682
15, 9, 0.056
15, 10, 0.0049
15, 11, 0.0138
15, 12, 0.019
15, 13, 0.0447
15, 14, 0.0547
15, 15, 0.917
16, 0, 0.0005
16, 1, 0.0033
16, 2, 0.0086
16, 3, 0.0063
16, 4, 0.0266
16, 5, 0.0859
16, 6, 0.0862
16, 7, 0.2026
16, 8, 0.2826
16, 9, 0.1658
16, 10, 0.0011
16, 11, 0.006
16, 12, 0.0161
16, 13, 0.019
16, 14, 0.0406
16, 15, 0.0588
16, 16, 0.8928
17, 0, 0.0271
17, 1, 0.0323
17, 2, 0.07
17, 3, 0.1113
17, 4, 0.057
17, 5, 0.1828
17, 6, 0.0566
17, 7, 0.0213
17, 8, 0.0167
17, 9, 0.006
17, 10, 0.0208
17, 11, 0.291
17, 12, 0.1137
17, 13, 0.0588
17, 14, 0.039
17, 15, 0.0169
17, 16, 0.0189
17, 17, 0.9436
18, 0, 0.008
18, 1, 0.0241
18, 2, 0.0335
18, 3, 0.0662
18, 4, 0.1108
18, 5, 0.0535
18, 6, 0.1811
18, 7, 0.0532
18, 8, 0.0213
18, 9, 0.0158
18, 10, 0.012
18, 11, 0.022
18, 12, 0.2858
18, 13, 0.1093
18, 14, 0.0568
18, 15, 0.0399
18, 16, 0.0173
18, 17, 0.0329
18, 18, 0.9326
19, 0, 0.0028
19, 1, 0.0087
19, 2, 0.0281
19, 3, 0.0353
19, 4, 0.0655
19, 5, 0.1116
19, 6, 0.0571
19, 7, 0.1816
19, 8, 0.054
19, 9, 0.0216
19, 10, 0.006
19, 11, 0.0126
19, 12, 0.0214
19, 13, 0.2828
19, 14, 0.1047
19, 15, 0.0554
19, 16, 0.0397
19, 17, 0.0227
19, 18, 0.0309
19, 19, 0.9109
20, 0, 0.0018
20, 1, 0.0024
20, 2, 0.008
20, 3, 0.0284
20, 4, 0.033
20, 5, 0.0634
20, 6, 0.1044
20, 7, 0.0572
20, 8, 0.1705
20, 9, 0.0498
20, 10, 0.0065
20, 11, 0.0078
20, 12, 0.0118
20, 13, 0.0236
20, 14, 0.2684
20, 15, 0.1038
20, 16, 0.0536
20, 17, 0.0112
20, 18, 0.0204
20, 19, 0.0355
20, 20, 0.9041
21, 0, 0.002
21, 1, 0.0063
21, 2, 0.0096
21, 3, 0.0211
21, 4, 0.0877
21, 5, 0.0223
21, 6, 0.0529
21, 7, 0.1763
21, 8, 0.0518
21, 9, 0.0199
21, 10, 0.0056
21, 11, 0.0199
21, 12, 0.1102
21, 13, 0.0354
21, 14, 0.0342
21, 15, 0.0525
21, 16, 0.0398
21, 17, 0.0136
21, 18, 0.2788
21, 19, 0.1005
21, 20, 0.0104
21, 21, 0.9165
22, 0, 0.0005
22, 1, 0.0021
22, 2, 0.0055
22, 3, 0.007
22, 4, 0.0189
22, 5, 0.088
22, 6, 0.0231
22, 7, 0.0546
22, 8, 0.1769
22, 9, 0.0524
22, 10, 0.0016
22, 11, 0.0029
22, 12, 0.017
22, 13, 0.1027
22, 14, 0.0331
22, 15, 0.0308
22, 16, 0.0579
22, 17, 0.0159
22, 18, 0.012
22, 19, 0.2728
22, 20, 0.1034
22, 21, 0.0341
22, 22, 0.8995
23, 0, 0.0872
23, 1, 0.2084
23, 2, 0.2182
23, 3, 0.0568
23, 4, 0.1121
23, 5, 0.0357
23, 6, 0.0129
23, 7, 0.0093
23, 8, 0.0044
23, 9, 0.0007
23, 10, 0.2944
23, 11, 0.2445
23, 12, 0.0323
23, 13, 0.026
23, 14, 0.0093
23, 15, 0.0091
23, 16, 0.0025
23, 17, 0.0742
23, 18, 0.0125
23, 19, 0.0095
23, 20, 0.0045
23, 21, 0.0108
23, 22, 0.0016
23, 23, 0.9499
24, 0, 0.0761
24, 1, 0.0891
24, 2, 0.2014
24, 3, 0.2154
24, 4, 0.0565
24, 5, 0.117
24, 6, 0.0313
24, 7, 0.0133
24, 8, 0.0076
24, 9, 0.0048
24, 10, 0.0415
24, 11, 0.278
24, 12, 0.256
24, 13, 0.0323
24, 14, 0.0283
24, 15, 0.0115
24, 16, 0.0095
24, 17, 0.1839
24, 18, 0.0722
24, 19, 0.0159
24, 20, 0.0084
24, 21, 0.0253
24, 22, 0.0096
24, 23, 0.0744
24, 24, 0.9317
25, 0, 0.0249
25, 1, 0.0771
25, 2, 0.0854
25, 3, 0.1871
25, 4, 0.2091
25, 5, 0.058
25, 6, 0.103
25, 7, 0.0351
25, 8, 0.012
25, 9, 0.0087
25, 10, 0.0393
25, 11, 0.0434
25, 12, 0.2756
25, 13, 0.2438
25, 14, 0.0335
25, 15, 0.027
25, 16, 0.0094
25, 17, 0.0324
25, 18, 0.1733
25, 19, 0.0721
25, 20, 0.0141
25, 21, 0.0555
25, 22, 0.0274
25, 23, 0.0232
25, 24, 0.0724
25, 25, 0.9146
26, 0, 0.0065
26, 1, 0.0276
26, 2, 0.0761
26, 3, 0.0833
26, 4, 0.1912
26, 5, 0.2146
26, 6, 0.0581
26, 7, 0.1074
26, 8, 0.0332
26, 9, 0.0117
26, 10, 0.0175
26, 11, 0.0389
26, 12, 0.0406
26, 13, 0.2767
26, 14, 0.2327
26, 15, 0.0348
26, 16, 0.0261
26, 17, 0.0438
26, 18, 0.033
26, 19, 0.1727
26, 20, 0.0696
26, 21, 0.0971
26, 22, 0.0524
26, 23, 0.0245
26, 24, 0.0267
26, 25, 0.0693
26, 26, 0.9123
27, 0, 0.0284
27, 1, 0.0477
27, 2, 0.0943
27, 3, 0.04
27, 4, 0.0585
27, 5, 0.0313
27, 6, 0.0108
27, 7, 0.0038
27, 8, 0.0044
27, 9, 0.0012
27, 10, 0.2176
27, 11, 0.0328
27, 12, 0.1846
27, 13, 0.0124
27, 14, 0.0061
27, 15, 0.0031
27, 16, 0.0033
27, 17, 0.0036
27, 18, 0.0516
27, 19, 0.004
27, 20, 0.0018
27, 21, 0.0193
27, 22, 0.003
27, 23, 0.0549
27, 24, 0.1014
27, 25, 0.0557
27, 26, 0.0086
27, 27, 0.9332
28, 0, 0.0211
28, 1, 0.0287
28, 2, 0.0489
28, 3, 0.0934
28, 4, 0.0415
28, 5, 0.0534
28, 6, 0.0328
28, 7, 0.01
28, 8, 0.0044
28, 9, 0.0047
28, 10, 0.0182
28, 11, 0.2143
28, 12, 0.033
28, 13, 0.1801
28, 14, 0.0096
28, 15, 0.0088
28, 16, 0.0033
28, 17, 0.2643
28, 18, 0.0047
28, 19, 0.0567
28, 20, 0.0038
28, 21, 0.0024
28, 22, 0.0198
28, 23, 0.0599
28, 24, 0.0547
28, 25, 0.0994
28, 26, 0.0554
28, 27, 0.0017
28, 28, 0.9117
29, 0, 0.0071
29, 1, 0.0212
29, 2, 0.0255
29, 3, 0.0544
29, 4, 0.0904
29, 5, 0.0424
29, 6, 0.0549
29, 7, 0.0345
29, 8, 0.0093
29, 9, 0.0033
29, 10, 0.0088
29, 11, 0.0186
29, 12, 0.2155
29, 13, 0.0348
29, 14, 0.179
29, 15, 0.0095
29, 16, 0.0079
29, 17, 0.0247
29, 18, 0.2835
29, 19, 0.0032
29, 20, 0.0518
29, 21, 0.173
29, 22, 0.0014
29, 23, 0.0125
29, 24, 0.0539
29, 25, 0.0507
29, 26, 0.0997
29, 27, 0.0402
29, 28, 0.0016
29, 29, 0.9047
30, 0, 0.0061
30, 1, 0.0178
30, 2, 0.0813
30, 3, 0.0189
30, 4, 0.0438
30, 5, 0.0515
30, 6, 0.0333
30, 7, 0.0099
