# primitive_MRO = (<class 'qiskit_aer.primitives.sampler_v2.SamplerV2'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rzz', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_noise_model.pkl
# backend_target_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_target.pkl
# sampler_type = noisy_aer
# i, j, expectation-value
0, 0, 0.9994
1, 0, 0.3455
1, 1, 0.9919
2, 0, 0.2462
2, 1, 0.3413
2, 2, 0.9838
3, 0, 0.1694
3, 1, 0.2457
3, 2, 0.349
3, 3, 0.9737
4, 0, 0.1106
4, 1, 0.1716
4, 2, 0.2343
4, 3, 0.3495
4, 4, 0.9681
5, 0, 0.0817
5, 1, 0.1159
5, 2, 0.1611
5, 3, 0.2335
5, 4, 0.3544
5, 5, 0.9558
6, 0, 0.0526
6, 1, 0.0779
6, 2, 0.1146
6, 3, 0.1669
6, 4, 0.2297
6, 5, 0.3401
6, 6, 0.9427
7, 0, 0.0341
7, 1, 0.0539
7, 2, 0.0755
7, 3, 0.111
7, 4, 0.1651
7, 5, 0.228
7, 6, 0.3321
7, 7, 0.9384
8, 0, 0.0253
8, 1, 0.0374
8, 2, 0.0536
8, 3, 0.076
8, 4, 0.1078
8, 5, 0.1564
8, 6, 0.2243
8, 7, 0.3313
8, 8, 0.9122
9, 0, 0.0171
9, 1, 0.0258
9, 2, 0.0349
9, 3, 0.0482
9, 4, 0.0822
9, 5, 0.106
9, 6, 0.1545
9, 7, 0.2164
9, 8, 0.3131
9, 9, 0.8911
10, 0, 0.1735
10, 1, 0.0781
10, 2, 0.3457
10, 3, 0.2593
10, 4, 0.0923
10, 5, 0.0624
10, 6, 0.045
10, 7, 0.0273
10, 8, 0.0191
10, 9, 0.0137
10, 10, 0.9727
11, 0, 0.119
11, 1, 0.1667
11, 2, 0.078
11, 3, 0.3491
11, 4, 0.2654
11, 5, 0.097
11, 6, 0.0612
11, 7, 0.0428
11, 8, 0.0316
11, 9, 0.0227
11, 10, 0.088
11, 11, 0.9633
12, 0, 0.0801
12, 1, 0.1215
12, 2, 0.1665
12, 3, 0.0766
12, 4, 0.3549
12, 5, 0.2597
12, 6, 0.0949
12, 7, 0.0636
12, 8, 0.0454
12, 9, 0.0323
12, 10, 0.0224
12, 11, 0.0855
12, 12, 0.9587
13, 0, 0.0542
13, 1, 0.076
13, 2, 0.1076
13, 3, 0.1622
13, 4, 0.0754
13, 5, 0.3462
13, 6, 0.2524
13, 7, 0.0906
13, 8, 0.0664
13, 9, 0.042
13, 10, 0.0474
13, 11, 0.0203
13, 12, 0.0866
13, 13, 0.9453
14, 0, 0.0346
14, 1, 0.053
14, 2, 0.0786
14, 3, 0.1134
14, 4, 0.1599
14, 5, 0.0758
14, 6, 0.3406
14, 7, 0.2485
14, 8, 0.0863
14, 9, 0.0614
14, 10, 0.0311
14, 11, 0.0505
14, 12, 0.0222
14, 13, 0.0879
14, 14, 0.9372
15, 0, 0.0248
15, 1, 0.0381
15, 2, 0.0528
15, 3, 0.0772
15, 4, 0.105
15, 5, 0.1599
15, 6, 0.0738
15, 7, 0.3327
15, 8, 0.2411
15, 9, 0.0826
15, 10, 0.0221
15, 11, 0.0327
15, 12, 0.0413
15, 13, 0.0278
15, 14, 0.0846
15, 15, 0.9235
16, 0, 0.0167
16, 1, 0.0245
16, 2, 0.0329
16, 3, 0.0524
16, 4, 0.069
16, 5, 0.1113
16, 6, 0.1555
16, 7, 0.0755
16, 8, 0.3252
16, 9, 0.2358
16, 10, 0.0122
16, 11, 0.0222
16, 12, 0.0267
16, 13, 0.044
16, 14, 0.0228
16, 15, 0.0891
16, 16, 0.8911
17, 0, 0.0809
17, 1, 0.1072
17, 2, 0.0539
17, 3, 0.2296
17, 4, 0.0935
17, 5, 0.2513
17, 6, 0.0918
17, 7, 0.0607
17, 8, 0.0435
17, 9, 0.0288
17, 10, 0.0623
17, 11, 0.3273
17, 12, 0.1471
17, 13, 0.0887
17, 14, 0.0179
17, 15, 0.0426
17, 16, 0.0281
17, 17, 0.9425
18, 0, 0.054
18, 1, 0.0768
18, 2, 0.1133
18, 3, 0.0542
18, 4, 0.2433
18, 5, 0.0907
18, 6, 0.2509
18, 7, 0.0872
18, 8, 0.0598
18, 9, 0.0381
18, 10, 0.0174
18, 11, 0.0562
18, 12, 0.3403
18, 13, 0.1474
18, 14, 0.0914
18, 15, 0.0216
18, 16, 0.0385
18, 17, 0.0322
18, 18, 0.9328
19, 0, 0.0403
19, 1, 0.0509
19, 2, 0.0772
19, 3, 0.108
19, 4, 0.0512
19, 5, 0.2363
19, 6, 0.0885
19, 7, 0.2482
19, 8, 0.091
19, 9, 0.0579
19, 10, 0.0307
19, 11, 0.0169
19, 12, 0.0638
19, 13, 0.335
19, 14, 0.1488
19, 15, 0.0903
19, 16, 0.0192
19, 17, 0.0657
19, 18, 0.0321
19, 19, 0.9158
20, 0, 0.0257
20, 1, 0.0383
20, 2, 0.0542
20, 3, 0.0795
20, 4, 0.1132
20, 5, 0.0493
20, 6, 0.2288
20, 7, 0.0859
20, 8, 0.2494
20, 9, 0.0891
20, 10, 0.0187
20, 11, 0.0305
20, 12, 0.0185
20, 13, 0.0596
20, 14, 0.32
20, 15, 0.1365
20, 16, 0.0898
20, 17, 0.0131
20, 18, 0.0627
20, 19, 0.0325
20, 20, 0.8971
21, 0, 0.0358
21, 1, 0.0528
21, 2, 0.0756
21, 3, 0.0365
21, 4, 0.1543
21, 5, 0.0624
21, 6, 0.0913
21, 7, 0.2501
21, 8, 0.0899
21, 9, 0.059
21, 10, 0.0098
21, 11, 0.0414
21, 12, 0.229
21, 13, 0.0825
21, 14, 0.0632
21, 15, 0.0928
21, 16, 0.0171
21, 17, 0.021
21, 18, 0.3275
21, 19, 0.141
21, 20, 0.0242
21, 21, 0.924
22, 0, 0.0269
22, 1, 0.0418
22, 2, 0.0509
22, 3, 0.0694
22, 4, 0.0306
22, 5, 0.1669
22, 6, 0.0642
22, 7, 0.0859
22, 8, 0.2332
22, 9, 0.0899
22, 10, 0.0194
22, 11, 0.0119
22, 12, 0.0386
22, 13, 0.2245
22, 14, 0.0795
22, 15, 0.0646
22, 16, 0.0802
22, 17, 0.0422
22, 18, 0.0218
22, 19, 0.3179
22, 20, 0.1382
22, 21, 0.0475
22, 22, 0.8441
23, 0, 0.1145
23, 1, 0.2309
23, 2, 0.0792
23, 3, 0.0883
23, 4, 0.1508
23, 5, 0.0876
23, 6, 0.0567
23, 7, 0.0382
23, 8, 0.0256
23, 9, 0.0178
