# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rxx', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.449
1, 1, 1.0
2, 0, 0.135
2, 1, 0.4569
2, 2, 1.0
3, 0, 0.0328
3, 1, 0.1378
3, 2, 0.449
3, 3, 1.0
4, 0, 0.0064
4, 1, 0.0368
4, 2, 0.1391
4, 3, 0.4566
4, 4, 1.0
5, 0, 0.0015
5, 1, 0.0064
5, 2, 0.033
5, 3, 0.1357
5, 4, 0.4568
5, 5, 1.0
6, 0, 0.0002
6, 1, 0.0013
6, 2, 0.0063
6, 3, 0.0327
6, 4, 0.1416
6, 5, 0.4531
6, 6, 1.0
7, 0, 0.0004
7, 1, 0.0001
7, 2, 0.0011
7, 3, 0.0082
7, 4, 0.033
7, 5, 0.1377
7, 6, 0.4605
7, 7, 1.0
8, 0, 0.0
8, 1, 0.0
8, 2, 0.0008
8, 3, 0.0018
8, 4, 0.0064
8, 5, 0.034
8, 6, 0.1418
8, 7, 0.4456
8, 8, 1.0
9, 0, 0.0
9, 1, 0.0
9, 2, 0.0
9, 3, 0.0009
9, 4, 0.0016
9, 5, 0.0071
9, 6, 0.0357
9, 7, 0.1365
9, 8, 0.4485
9, 9, 1.0
10, 0, 0.0852
10, 1, 0.1961
10, 2, 0.4562
10, 3, 0.8506
10, 4, 0.3956
10, 5, 0.1187
10, 6, 0.0269
10, 7, 0.006
10, 8, 0.001
10, 9, 0.0003
10, 10, 1.0
11, 0, 0.0268
11, 1, 0.0942
11, 2, 0.1986
11, 3, 0.4507
11, 4, 0.8469
11, 5, 0.3804
11, 6, 0.1187
11, 7, 0.0302
11, 8, 0.0069
11, 9, 0.0017
11, 10, 0.3825
11, 11, 1.0
12, 0, 0.009
12, 1, 0.0274
12, 2, 0.0874
12, 3, 0.1921
12, 4, 0.4482
12, 5, 0.8431
12, 6, 0.3868
12, 7, 0.1181
12, 8, 0.0277
12, 9, 0.0077
12, 10, 0.1678
12, 11, 0.3854
12, 12, 1.0
13, 0, 0.0023
13, 1, 0.0075
13, 2, 0.026
13, 3, 0.0876
13, 4, 0.1915
13, 5, 0.4533
13, 6, 0.8474
13, 7, 0.385
13, 8, 0.1085
13, 9, 0.0298
13, 10, 0.0713
13, 11, 0.1661
13, 12, 0.3862
13, 13, 1.0
14, 0, 0.0004
14, 1, 0.0023
14, 2, 0.0074
14, 3, 0.0259
14, 4, 0.083
14, 5, 0.2009
14, 6, 0.4341
14, 7, 0.8426
14, 8, 0.3828
14, 9, 0.1211
14, 10, 0.0235
14, 11, 0.0709
14, 12, 0.1634
14, 13, 0.3832
14, 14, 1.0
15, 0, 0.0001
15, 1, 0.0002
15, 2, 0.0021
15, 3, 0.0085
15, 4, 0.0246
15, 5, 0.0889
15, 6, 0.1982
15, 7, 0.449
15, 8, 0.8529
15, 9, 0.3848
15, 10, 0.0068
15, 11, 0.0236
15, 12, 0.0748
15, 13, 0.1623
15, 14, 0.3784
15, 15, 1.0
16, 0, 0.0
16, 1, 0.0002
16, 2, 0.0005
16, 3, 0.0022
16, 4, 0.0054
16, 5, 0.0283
16, 6, 0.0883
16, 7, 0.1969
16, 8, 0.4474
16, 9, 0.8447
16, 10, 0.0017
16, 11, 0.0054
16, 12, 0.0224
16, 13, 0.07
16, 14, 0.1662
16, 15, 0.3657
16, 16, 1.0
17, 0, 0.0106
17, 1, 0.0308
17, 2, 0.0599
17, 3, 0.1406
17, 4, 0.3904
17, 5, 0.852
17, 6, 0.3818
17, 7, 0.1264
17, 8, 0.028
17, 9, 0.0045
17, 10, 0.1188
17, 11, 0.4487
17, 12, 0.7373
17, 13, 0.3803
17, 14, 0.1662
17, 15, 0.0748
17, 16, 0.0228
17, 17, 1.0
18, 0, 0.0039
18, 1, 0.0118
18, 2, 0.0321
18, 3, 0.0571
18, 4, 0.1365
18, 5, 0.3818
18, 6, 0.8467
18, 7, 0.3872
18, 8, 0.1176
18, 9, 0.0265
18, 10, 0.0493
18, 11, 0.1198
18, 12, 0.4392
18, 13, 0.7317
18, 14, 0.3806
18, 15, 0.1697
18, 16, 0.072
18, 17, 0.3311
18, 18, 1.0
19, 0, 0.0013
19, 1, 0.0036
19, 2, 0.0115
19, 3, 0.0309
19, 4, 0.0638
19, 5, 0.1349
19, 6, 0.3825
19, 7, 0.8399
19, 8, 0.38
19, 9, 0.1168
19, 10, 0.0253
19, 11, 0.0534
19, 12, 0.1136
19, 13, 0.4481
19, 14, 0.7384
19, 15, 0.3788
19, 16, 0.168
19, 17, 0.1181
19, 18, 0.3295
19, 19, 1.0
20, 0, 0.0003
20, 1, 0.0012
20, 2, 0.0031
20, 3, 0.0106
20, 4, 0.0319
20, 5, 0.0572
20, 6, 0.1412
20, 7, 0.3816
20, 8, 0.851
20, 9, 0.3818
20, 10, 0.0093
20, 11, 0.0255
20, 12, 0.0487
20, 13, 0.1095
20, 14, 0.461
20, 15, 0.7422
20, 16, 0.3773
20, 17, 0.0486
20, 18, 0.1187
20, 19, 0.3398
20, 20, 1.0
21, 0, 0.0006
21, 1, 0.0023
21, 2, 0.0082
21, 3, 0.0156
21, 4, 0.032
21, 5, 0.1164
21, 6, 0.3937
21, 7, 0.8462
21, 8, 0.3779
21, 9, 0.1211
21, 10, 0.0139
21, 11, 0.0242
21, 12, 0.1447
21, 13, 0.3358
21, 14, 0.7205
21, 15, 0.3832
21, 16, 0.1717
21, 17, 0.1012
21, 18, 0.4527
21, 19, 0.7453
21, 20, 0.3246
21, 21, 1.0
22, 0, 0.0002
22, 1, 0.0014
22, 2, 0.0033
22, 3, 0.009
22, 4, 0.0137
22, 5, 0.0338
22, 6, 0.1167
22, 7, 0.3761
22, 8, 0.8556
22, 9, 0.3839
22, 10, 0.0082
22, 11, 0.0128
22, 12, 0.0284
22, 13, 0.1406
22, 14, 0.3298
22, 15, 0.7167
22, 16, 0.3899
22, 17, 0.0284
22, 18, 0.1007
22, 19, 0.4563
22, 20, 0.7428
22, 21, 0.3267
22, 22, 1.0
23, 0, 0.0605
23, 1, 0.0906
23, 2, 0.2088
23, 3, 0.384
23, 4, 0.7302
23, 5, 0.3492
23, 6, 0.1082
23, 7, 0.0254
23, 8, 0.0045
23, 9, 0.0012
23, 10, 0.4443
23, 11, 0.7571
23, 12, 0.3323
23, 13, 0.1423
23, 14, 0.0671
23, 15, 0.0183
23, 16, 0.0059
23, 17, 0.3421
23, 18, 0.0967
23, 19, 0.0451
23, 20, 0.0238
23, 21, 0.0233
23, 22, 0.0113
23, 23, 1.0
24, 0, 0.0221
24, 1, 0.063
24, 2, 0.091
24, 3, 0.202
24, 4, 0.3962
24, 5, 0.7355
24, 6, 0.3362
24, 7, 0.1002
24, 8, 0.0239
24, 9, 0.0057
24, 10, 0.1852
24, 11, 0.4555
24, 12, 0.761
24, 13, 0.3286
24, 14, 0.1471
24, 15, 0.0622
24, 16, 0.0209
24, 17, 0.8507
24, 18, 0.3356
24, 19, 0.0932
24, 20, 0.0439
24, 21, 0.1028
24, 22, 0.0242
24, 23, 0.383
24, 24, 1.0
25, 0, 0.0041
25, 1, 0.0217
25, 2, 0.0629
25, 3, 0.0911
25, 4, 0.1927
25, 5, 0.385
25, 6, 0.7386
25, 7, 0.329
25, 8, 0.1039
25, 9, 0.0259
25, 10, 0.0856
25, 11, 0.1874
25, 12, 0.4446
25, 13, 0.7597
