# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'ryy', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.2997
1, 1, 1.0
2, 0, 0.1159
2, 1, 0.2955
2, 2, 1.0
3, 0, 0.0936
3, 1, 0.1172
3, 2, 0.3023
3, 3, 1.0
4, 0, 0.0351
4, 1, 0.0993
4, 2, 0.1133
4, 3, 0.3059
4, 4, 1.0
5, 0, 0.0081
5, 1, 0.0362
5, 2, 0.102
5, 3, 0.1131
5, 4, 0.3029
5, 5, 1.0
6, 0, 0.009
6, 1, 0.0073
6, 2, 0.0368
6, 3, 0.0989
6, 4, 0.1126
6, 5, 0.297
6, 6, 1.0
7, 0, 0.003
7, 1, 0.0097
7, 2, 0.0078
7, 3, 0.0399
7, 4, 0.0972
7, 5, 0.1183
7, 6, 0.3005
7, 7, 1.0
8, 0, 0.0007
8, 1, 0.0043
8, 2, 0.008
8, 3, 0.0073
8, 4, 0.0346
8, 5, 0.0986
8, 6, 0.1146
8, 7, 0.3026
8, 8, 1.0
9, 0, 0.0001
9, 1, 0.0009
9, 2, 0.0053
9, 3, 0.0086
9, 4, 0.0088
9, 5, 0.0362
9, 6, 0.1014
9, 7, 0.117
9, 8, 0.2895
9, 9, 1.0
10, 0, 0.0995
10, 1, 0.228
10, 2, 0.2998
10, 3, 0.1967
10, 4, 0.0565
10, 5, 0.0193
10, 6, 0.0204
10, 7, 0.0066
10, 8, 0.0013
10, 9, 0.0012
10, 10, 1.0
11, 0, 0.0865
11, 1, 0.0952
11, 2, 0.2369
11, 3, 0.3066
11, 4, 0.1928
11, 5, 0.055
11, 6, 0.0228
11, 7, 0.021
11, 8, 0.007
11, 9, 0.0017
11, 10, 0.0604
11, 11, 1.0
12, 0, 0.0252
12, 1, 0.0884
12, 2, 0.0982
12, 3, 0.2199
12, 4, 0.304
12, 5, 0.1938
12, 6, 0.0593
12, 7, 0.0193
12, 8, 0.0185
12, 9, 0.0063
12, 10, 0.0414
12, 11, 0.06
12, 12, 1.0
13, 0, 0.0057
13, 1, 0.0274
13, 2, 0.0894
13, 3, 0.097
13, 4, 0.2259
13, 5, 0.2969
13, 6, 0.1922
13, 7, 0.0569
13, 8, 0.0222
13, 9, 0.0179
13, 10, 0.0191
13, 11, 0.0436
13, 12, 0.0557
13, 13, 1.0
14, 0, 0.0084
14, 1, 0.0064
14, 2, 0.0293
14, 3, 0.0866
14, 4, 0.0961
14, 5, 0.2269
14, 6, 0.2959
14, 7, 0.1903
14, 8, 0.0557
14, 9, 0.0218
14, 10, 0.0156
14, 11, 0.018
14, 12, 0.0437
14, 13, 0.0614
14, 14, 1.0
15, 0, 0.0037
15, 1, 0.0073
15, 2, 0.0072
15, 3, 0.0294
15, 4, 0.0885
15, 5, 0.1009
15, 6, 0.2245
15, 7, 0.3013
15, 8, 0.1904
15, 9, 0.0619
15, 10, 0.0047
15, 11, 0.0182
15, 12, 0.0191
15, 13, 0.0405
15, 14, 0.0541
15, 15, 1.0
16, 0, 0.0005
16, 1, 0.0041
16, 2, 0.0058
16, 3, 0.0045
16, 4, 0.0272
16, 5, 0.089
16, 6, 0.0938
16, 7, 0.2314
16, 8, 0.2939
16, 9, 0.1906
16, 10, 0.0013
16, 11, 0.0047
16, 12, 0.015
16, 13, 0.0194
16, 14, 0.0446
16, 15, 0.057
16, 16, 1.0
17, 0, 0.0301
17, 1, 0.0356
17, 2, 0.0721
17, 3, 0.1116
17, 4, 0.0595
17, 5, 0.1949
17, 6, 0.059
17, 7, 0.0217
17, 8, 0.0189
17, 9, 0.0055
17, 10, 0.0195
17, 11, 0.2922
17, 12, 0.1161
17, 13, 0.0532
17, 14, 0.0444
17, 15, 0.0178
17, 16, 0.0178
17, 17, 1.0
18, 0, 0.0083
18, 1, 0.0275
18, 2, 0.0353
18, 3, 0.0692
18, 4, 0.1116
18, 5, 0.0592
18, 6, 0.1915
18, 7, 0.0551
18, 8, 0.0209
18, 9, 0.0171
18, 10, 0.0127
18, 11, 0.0185
18, 12, 0.2988
18, 13, 0.1119
18, 14, 0.059
18, 15, 0.0435
18, 16, 0.0161
18, 17, 0.0354
18, 18, 1.0
19, 0, 0.0025
19, 1, 0.0052
19, 2, 0.0258
19, 3, 0.0342
19, 4, 0.068
19, 5, 0.11
19, 6, 0.0585
19, 7, 0.1897
19, 8, 0.0579
19, 9, 0.0192
19, 10, 0.0054
19, 11, 0.0127
19, 12, 0.0222
19, 13, 0.303
19, 14, 0.1155
19, 15, 0.0581
19, 16, 0.043
19, 17, 0.0211
19, 18, 0.0354
19, 19, 1.0
20, 0, 0.0025
20, 1, 0.0025
20, 2, 0.0071
20, 3, 0.0268
20, 4, 0.0372
20, 5, 0.0653
20, 6, 0.1168
20, 7, 0.0591
20, 8, 0.1882
20, 9, 0.0553
20, 10, 0.0056
20, 11, 0.0055
20, 12, 0.0145
20, 13, 0.0224
20, 14, 0.2957
20, 15, 0.1161
20, 16, 0.0581
20, 17, 0.0132
20, 18, 0.0231
20, 19, 0.0348
20, 20, 1.0
21, 0, 0.0029
21, 1, 0.0057
21, 2, 0.0088
21, 3, 0.0193
21, 4, 0.0975
21, 5, 0.0223
21, 6, 0.0618
21, 7, 0.1929
21, 8, 0.0551
21, 9, 0.0224
21, 10, 0.0033
21, 11, 0.0171
21, 12, 0.1128
21, 13, 0.0378
21, 14, 0.0387
21, 15, 0.0573
21, 16, 0.0457
21, 17, 0.0112
21, 18, 0.3052
21, 19, 0.1157
21, 20, 0.0101
21, 21, 1.0
22, 0, 0.0006
22, 1, 0.0016
22, 2, 0.0061
22, 3, 0.0083
22, 4, 0.0198
22, 5, 0.0976
22, 6, 0.021
22, 7, 0.0593
22, 8, 0.1929
22, 9, 0.0548
22, 10, 0.0019
22, 11, 0.0032
22, 12, 0.0177
22, 13, 0.1122
22, 14, 0.0357
22, 15, 0.0371
22, 16, 0.0573
