# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rzz', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.3548
1, 1, 1.0
2, 0, 0.2422
2, 1, 0.3616
2, 2, 1.0
3, 0, 0.1643
3, 1, 0.2458
3, 2, 0.3578
3, 3, 1.0
4, 0, 0.1157
4, 1, 0.1641
4, 2, 0.2397
4, 3, 0.3429
4, 4, 1.0
5, 0, 0.0796
5, 1, 0.1177
5, 2, 0.1669
5, 3, 0.2451
5, 4, 0.3539
5, 5, 1.0
6, 0, 0.0499
6, 1, 0.084
6, 2, 0.1133
6, 3, 0.1704
6, 4, 0.2463
6, 5, 0.3578
6, 6, 1.0
7, 0, 0.0347
7, 1, 0.0536
7, 2, 0.0784
7, 3, 0.1118
7, 4, 0.1626
7, 5, 0.2438
7, 6, 0.3438
7, 7, 1.0
8, 0, 0.0237
8, 1, 0.0394
8, 2, 0.0548
8, 3, 0.0751
8, 4, 0.1124
8, 5, 0.1692
8, 6, 0.2471
8, 7, 0.3606
8, 8, 1.0
9, 0, 0.019
9, 1, 0.0255
9, 2, 0.0388
9, 3, 0.0523
9, 4, 0.0823
9, 5, 0.113
9, 6, 0.1673
9, 7, 0.2468
9, 8, 0.3486
9, 9, 1.0
10, 0, 0.1708
10, 1, 0.076
10, 2, 0.353
10, 3, 0.2658
10, 4, 0.0934
10, 5, 0.0675
10, 6, 0.0496
10, 7, 0.0287
10, 8, 0.0199
10, 9, 0.0159
10, 10, 1.0
11, 0, 0.1155
11, 1, 0.1658
11, 2, 0.0791
11, 3, 0.3573
11, 4, 0.2712
11, 5, 0.0966
11, 6, 0.0666
11, 7, 0.0468
11, 8, 0.0296
11, 9, 0.0206
11, 10, 0.0918
11, 11, 1.0
12, 0, 0.0819
12, 1, 0.1214
12, 2, 0.1702
12, 3, 0.0721
12, 4, 0.3542
12, 5, 0.2715
12, 6, 0.097
12, 7, 0.0666
12, 8, 0.0458
12, 9, 0.0286
12, 10, 0.0201
12, 11, 0.0932
12, 12, 1.0
13, 0, 0.0555
13, 1, 0.0856
13, 2, 0.1141
13, 3, 0.1674
13, 4, 0.074
13, 5, 0.3551
13, 6, 0.2654
13, 7, 0.0954
13, 8, 0.0633
13, 9, 0.0468
13, 10, 0.0471
13, 11, 0.0193
13, 12, 0.0889
13, 13, 1.0
14, 0, 0.039
14, 1, 0.0573
14, 2, 0.0799
14, 3, 0.1126
14, 4, 0.1629
14, 5, 0.0793
14, 6, 0.3469
14, 7, 0.2584
14, 8, 0.0948
14, 9, 0.0628
14, 10, 0.0321
14, 11, 0.0427
14, 12, 0.017
14, 13, 0.0904
14, 14, 1.0
15, 0, 0.0262
15, 1, 0.0372
15, 2, 0.0561
15, 3, 0.0769
15, 4, 0.1179
15, 5, 0.1718
15, 6, 0.073
15, 7, 0.3547
15, 8, 0.2598
15, 9, 0.0888
15, 10, 0.0193
15, 11, 0.0301
15, 12, 0.0416
15, 13, 0.021
15, 14, 0.085
15, 15, 1.0
16, 0, 0.0183
16, 1, 0.0233
16, 2, 0.0367
16, 3, 0.0535
16, 4, 0.0758
16, 5, 0.1148
16, 6, 0.1613
16, 7, 0.0729
16, 8, 0.351
16, 9, 0.2645
16, 10, 0.0154
16, 11, 0.0203
16, 12, 0.0315
16, 13, 0.0418
16, 14, 0.0205
16, 15, 0.0877
16, 16, 1.0
17, 0, 0.0808
17, 1, 0.1155
17, 2, 0.0489
17, 3, 0.2396
17, 4, 0.0957
17, 5, 0.2651
17, 6, 0.0935
17, 7, 0.0661
17, 8, 0.0438
17, 9, 0.0316
17, 10, 0.0607
17, 11, 0.3598
17, 12, 0.1518
17, 13, 0.093
17, 14, 0.0186
17, 15, 0.0449
17, 16, 0.0284
17, 17, 1.0
18, 0, 0.0539
18, 1, 0.0746
18, 2, 0.1098
18, 3, 0.0471
18, 4, 0.2482
18, 5, 0.0926
18, 6, 0.2656
18, 7, 0.0929
18, 8, 0.0683
18, 9, 0.0472
18, 10, 0.0134
18, 11, 0.0608
18, 12, 0.3461
18, 13, 0.153
18, 14, 0.0978
18, 15, 0.017
18, 16, 0.0455
18, 17, 0.0303
18, 18, 1.0
19, 0, 0.0368
19, 1, 0.0523
19, 2, 0.0842
19, 3, 0.1156
19, 4, 0.0497
19, 5, 0.2484
19, 6, 0.0975
19, 7, 0.2713
19, 8, 0.0955
19, 9, 0.0638
19, 10, 0.0305
19, 11, 0.0127
19, 12, 0.062
19, 13, 0.3493
19, 14, 0.1503
19, 15, 0.0941
19, 16, 0.0193
19, 17, 0.0649
19, 18, 0.0312
19, 19, 1.0
20, 0, 0.0264
20, 1, 0.0388
20, 2, 0.0528
20, 3, 0.0819
20, 4, 0.1133
20, 5, 0.0491
20, 6, 0.2397
20, 7, 0.0916
20, 8, 0.271
20, 9, 0.0927
20, 10, 0.0213
20, 11, 0.0295
20, 12, 0.0126
20, 13, 0.0603
20, 14, 0.3554
20, 15, 0.1475
20, 16, 0.0911
20, 17, 0.0127
20, 18, 0.067
20, 19, 0.0333
20, 20, 1.0
21, 0, 0.0388
21, 1, 0.057
21, 2, 0.0835
21, 3, 0.0338
21, 4, 0.1754
21, 5, 0.0647
21, 6, 0.0931
21, 7, 0.2637
21, 8, 0.0923
21, 9, 0.0677
21, 10, 0.0117
21, 11, 0.0393
21, 12, 0.2449
21, 13, 0.0857
21, 14, 0.0715
21, 15, 0.1006
21, 16, 0.0193
21, 17, 0.0209
21, 18, 0.3534
21, 19, 0.15
21, 20, 0.0256
21, 21, 1.0
22, 0, 0.0293
22, 1, 0.0392
22, 2, 0.0496
22, 3, 0.0756
22, 4, 0.0369
22, 5, 0.1649
22, 6, 0.0657
22, 7, 0.0933
22, 8, 0.2648
22, 9, 0.0967
22, 10, 0.02
22, 11, 0.0087
22, 12, 0.042
22, 13, 0.2435
22, 14, 0.0896
22, 15, 0.068
22, 16, 0.0914
22, 17, 0.0474
22, 18, 0.0218
22, 19, 0.3533
22, 20, 0.1519
22, 21, 0.0543
22, 22, 1.0
23, 0, 0.1185
23, 1, 0.2374
23, 2, 0.0712
23, 3, 0.0832
23, 4, 0.1507
23, 5, 0.0866
23, 6, 0.0601
23, 7, 0.0431
23, 8, 0.0265
23, 9, 0.0179
23, 10, 0.3508
23, 11, 0.2642
23, 12, 0.0265
23, 13, 0.011
23, 14, 0.0404
23, 15, 0.0285
23, 16, 0.0177
23, 17, 0.0821
23, 18, 0.0177
23, 19, 0.0096
23, 20, 0.0294
23, 21, 0.0117
23, 22, 0.006
23, 23, 1.0
24, 0, 0.0785
24, 1, 0.1186
24, 2, 0.2398
24, 3, 0.0706
24, 4, 0.0902
24, 5, 0.1497
24, 6, 0.0835
24, 7, 0.0577
24, 8, 0.0439
24, 9, 0.0301
24, 10, 0.092
24, 11, 0.3579
24, 12, 0.2711
24, 13, 0.0257
24, 14, 0.0124
24, 15, 0.0416
24, 16, 0.0281
24, 17, 0.2686
24, 18, 0.0774
24, 19, 0.019
24, 20, 0.0088
24, 21, 0.0543
24, 22, 0.0139
24, 23, 0.1434
24, 24, 1.0
25, 0, 0.058
25, 1, 0.0709
25, 2, 0.1129
25, 3, 0.2389
25, 4, 0.0723
25, 5, 0.0926
25, 6, 0.1538
25, 7, 0.083
25, 8, 0.0589
25, 9, 0.0419
25, 10, 0.0614
25, 11, 0.0886
25, 12, 0.3519
25, 13, 0.2721
25, 14, 0.0287
25, 15, 0.0127
25, 16, 0.0403
25, 17, 0.1386
25, 18, 0.2586
25, 19, 0.0807
25, 20, 0.0174
25, 21, 0.0961
25, 22, 0.0549
25, 23, 0.0311
25, 24, 0.1475
25, 25, 1.0
26, 0, 0.0393
26, 1, 0.0585
26, 2, 0.0753
26, 3, 0.1082
26, 4, 0.2371
26, 5, 0.072
26, 6, 0.0908
26, 7, 0.1472
26, 8, 0.0855
26, 9, 0.0625
26, 10, 0.0303
26, 11, 0.0636
26, 12, 0.0858
26, 13, 0.3588
26, 14, 0.2635
26, 15, 0.0283
26, 16, 0.0112
26, 17, 0.0198
26, 18, 0.1353
26, 19, 0.266
26, 20, 0.0812
26, 21, 0.1792
26, 22, 0.0966
26, 23, 0.0225
26, 24, 0.0296
26, 25, 0.1472
26, 26, 1.0
27, 0, 0.0789
27, 1, 0.0356
27, 2, 0.1664
27, 3, 0.019
27, 4, 0.0929
27, 5, 0.0726
27, 6, 0.0258
27, 7, 0.0167
27, 8, 0.0106
27, 9, 0.0068
27, 10, 0.0741
27, 11, 0.0266
27, 12, 0.2643
27, 13, 0.0259
27, 14, 0.0042
27, 15, 0.0126
27, 16, 0.0088
27, 17, 0.0013
27, 18, 0.0956
27, 19, 0.0154
27, 20, 0.0034
27, 21, 0.0627
27, 22, 0.0115
27, 23, 0.0899
27, 24, 0.1512
27, 25, 0.0948
27, 26, 0.0246
27, 27, 1.0
28, 0, 0.0572
28, 1, 0.0804
28, 2, 0.0345
28, 3, 0.1657
28, 4, 0.0209
28, 5, 0.0894
28, 6, 0.0725
28, 7, 0.0249
28, 8, 0.0174
28, 9, 0.0131
28, 10, 0.0423
28, 11, 0.0731
28, 12, 0.0284
28, 13, 0.2678
28, 14, 0.0253
28, 15, 0.0059
28, 16, 0.0119
28, 17, 0.3562
28, 18, 0.0015
28, 19, 0.0908
28, 20, 0.0156
28, 21, 0.0062
28, 22, 0.0643
28, 23, 0.0033
28, 24, 0.0849
28, 25, 0.1509
28, 26, 0.0918
28, 27, 0.0083
28, 28, 1.0
29, 0, 0.037
29, 1, 0.0558
29, 2, 0.0783
29, 3, 0.036
29, 4, 0.1706
29, 5, 0.0189
29, 6, 0.0912
29, 7, 0.072
29, 8, 0.024
29, 9, 0.0163
29, 10, 0.0083
29, 11, 0.0415
29, 12, 0.0716
