# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rxx', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_noise_model.pkl
# backend_target_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_target.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.4514
1, 1, 1.0
2, 0, 0.1457
2, 1, 0.4567
2, 2, 1.0
3, 0, 0.0329
3, 1, 0.1381
3, 2, 0.4499
3, 3, 1.0
4, 0, 0.0065
4, 1, 0.0328
4, 2, 0.1359
4, 3, 0.4524
4, 4, 1.0
5, 0, 0.0019
5, 1, 0.0079
5, 2, 0.0347
5, 3, 0.1398
5, 4, 0.4526
5, 5, 1.0
6, 0, 0.0004
6, 1, 0.0008
6, 2, 0.0079
6, 3, 0.0286
6, 4, 0.1428
6, 5, 0.4515
6, 6, 1.0
7, 0, 0.0002
7, 1, 0.0004
7, 2, 0.0016
7, 3, 0.0064
7, 4, 0.034
7, 5, 0.1344
7, 6, 0.4556
7, 7, 1.0
8, 0, 0.0
8, 1, 0.0001
8, 2, 0.0004
8, 3, 0.0013
8, 4, 0.007
8, 5, 0.0334
8, 6, 0.1408
8, 7, 0.4634
8, 8, 1.0
9, 0, 0.197
9, 1, 0.4427
9, 2, 0.85
9, 3, 0.3793
9, 4, 0.1164
9, 5, 0.0305
9, 6, 0.0074
9, 7, 0.0008
9, 8, 0.0004
9, 9, 1.0
10, 0, 0.0585
10, 1, 0.1407
10, 2, 0.387
10, 3, 0.8455
10, 4, 0.3773
10, 5, 0.1102
10, 6, 0.0274
10, 7, 0.0061
10, 8, 0.0014
10, 9, 0.4495
10, 10, 1.0
