# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'ryy', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
0, 0, 1.0
1, 0, 0.2992
1, 1, 1.0
2, 0, 0.1105
2, 1, 0.3105
2, 2, 1.0
3, 0, 0.0932
3, 1, 0.1189
3, 2, 0.3028
3, 3, 1.0
4, 0, 0.035
4, 1, 0.0956
4, 2, 0.1123
4, 3, 0.2987
4, 4, 1.0
5, 0, 0.007
5, 1, 0.0343
5, 2, 0.0965
5, 3, 0.1153
5, 4, 0.3017
5, 5, 1.0
6, 0, 0.0086
6, 1, 0.0082
6, 2, 0.0357
6, 3, 0.0944
6, 4, 0.1136
6, 5, 0.2924
6, 6, 1.0
7, 0, 0.0055
7, 1, 0.0076
7, 2, 0.0074
7, 3, 0.0392
7, 4, 0.0972
7, 5, 0.118
7, 6, 0.3055
7, 7, 1.0
8, 0, 0.0006
8, 1, 0.0044
8, 2, 0.0064
8, 3, 0.0089
8, 4, 0.0356
8, 5, 0.096
8, 6, 0.1162
8, 7, 0.3068
8, 8, 1.0
9, 0, 0.2214
9, 1, 0.3
9, 2, 0.1898
9, 3, 0.0572
9, 4, 0.0219
9, 5, 0.0192
9, 6, 0.0065
9, 7, 0.0014
9, 8, 0.0022
9, 9, 1.0
10, 0, 0.0755
10, 1, 0.1153
10, 2, 0.0555
10, 3, 0.1877
10, 4, 0.0569
10, 5, 0.0196
10, 6, 0.0152
10, 7, 0.0057
10, 8, 0.0012
10, 9, 0.2948
10, 10, 1.0
11, 0, 0.0184
11, 1, 0.0949
11, 2, 0.0184
11, 3, 0.0541
11, 4, 0.1874
11, 5, 0.0583
11, 6, 0.023
11, 7, 0.0177
11, 8, 0.0064
11, 9, 0.1193
11, 10, 0.307
11, 11, 1.0
12, 0, 0.0224
12, 1, 0.0341
12, 2, 0.0172
12, 3, 0.0222
12, 4, 0.0532
12, 5, 0.1889
12, 6, 0.0529
12, 7, 0.0208
12, 8, 0.0177
12, 9, 0.0968
12, 10, 0.1171
12, 11, 0.3023
12, 12, 1.0
13, 0, 0.0082
13, 1, 0.0094
13, 2, 0.0069
13, 3, 0.0176
13, 4, 0.0229
13, 5, 0.0553
13, 6, 0.1928
13, 7, 0.0547
13, 8, 0.0211
13, 9, 0.037
13, 10, 0.0964
13, 11, 0.1113
13, 12, 0.2974
13, 13, 1.0
14, 0, 0.0018
14, 1, 0.0075
14, 2, 0.0017
14, 3, 0.0073
14, 4, 0.0199
14, 5, 0.0215
14, 6, 0.0597
14, 7, 0.1908
14, 8, 0.0564
14, 9, 0.0101
14, 10, 0.0385
14, 11, 0.0966
14, 12, 0.1144
14, 13, 0.2989
14, 14, 1.0
15, 0, 0.0021
15, 1, 0.0043
15, 2, 0.0013
15, 3, 0.0011
15, 4, 0.0075
15, 5, 0.0179
15, 6, 0.0216
15, 7, 0.0556
15, 8, 0.1838
15, 9, 0.0072
15, 10, 0.0074
15, 11, 0.0349
15, 12, 0.0957
15, 13, 0.1129
15, 14, 0.303
15, 15, 1.0
16, 0, 0.0026
16, 1, 0.0011
16, 2, 0.0004
16, 3, 0.0013
16, 4, 0.0001
16, 5, 0.0
16, 6, 0.0
16, 7, 0.0
16, 8, 0.0
